geometry,start
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",118
"{""type"": ""Point"", ""coordinates"": [-73.97207836,40.75714758]}",117
"{""type"": ""Point"", ""coordinates"": [-74.00473036,40.72430832]}",117
"{""type"": ""Point"", ""coordinates"": [-73.98336183,40.76228826]}",116
"{""type"": ""Point"", ""coordinates"": [-73.98338988,40.75038009]}",116
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",114
"{""type"": ""Point"", ""coordinates"": [-73.99061728,40.76669671]}",114
"{""type"": ""Point"", ""coordinates"": [-73.96094022,40.7612274]}",114
"{""type"": ""Point"", ""coordinates"": [-74.01129574,40.72771408]}",114
"{""type"": ""Point"", ""coordinates"": [-74.00165856,40.72494672]}",113
"{""type"": ""Point"", ""coordinates"": [-74.00681753,40.74334935]}",112
"{""type"": ""Point"", ""coordinates"": [-73.988038,40.770513]}",111
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",111
"{""type"": ""Point"", ""coordinates"": [-73.9867267,40.70140317]}",110
"{""type"": ""Point"", ""coordinates"": [-73.99949601,40.72362738]}",108
"{""type"": ""Point"", ""coordinates"": [-73.99923384,40.74937024]}",108
"{""type"": ""Point"", ""coordinates"": [-73.96685276,40.77282817]}",108
"{""type"": ""Point"", ""coordinates"": [-73.97950418,40.72746421]}",106
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",106
"{""type"": ""Point"", ""coordinates"": [-73.98266566,40.77492513]}",106
"{""type"": ""Point"", ""coordinates"": [-73.97282625,40.75255434]}",106
"{""type"": ""Point"", ""coordinates"": [-73.97187886,40.7546011]}",105
"{""type"": ""Point"", ""coordinates"": [-73.97768752,40.72521311]}",105
"{""type"": ""Point"", ""coordinates"": [-73.96961715,40.78472675]}",104
"{""type"": ""Point"", ""coordinates"": [-73.97738662,40.7381765]}",104
"{""type"": ""Point"", ""coordinates"": [-73.988639,40.768254]}",104
"{""type"": ""Point"", ""coordinates"": [-73.97402311,40.7597108]}",102
"{""type"": ""Point"", ""coordinates"": [-73.9396861,40.8045555]}",102
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",102
"{""type"": ""Point"", ""coordinates"": [-73.981346,40.714215]}",101
"{""type"": ""Point"", ""coordinates"": [-74.00747359,40.74275383]}",101
"{""type"": ""Point"", ""coordinates"": [-73.96165073,40.72036775]}",100
"{""type"": ""Point"", ""coordinates"": [-74.01677685,40.70569254]}",100
"{""type"": ""Point"", ""coordinates"": [-73.98802084,40.7172274]}",100
